# BUSCO version is: 5.8.2 
# The lineage dataset is: diptera_odb12 (Creation date: 2025-04-11, number of genomes: 76, number of BUSCOs: 5067)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
11753at7147	Complete	OZ038375.1	16508010	16486715	-	589.9	317
11778at7147	Complete	OZ038375.1	26156302	26157176	+	393.2	253
11874at7147	Fragmented	OZ038371.1	111694275	111695088	+	445.6	230
11888at7147	Complete	OZ038372.1	22118322	22118694	+	178.6	105
11999at7147	Complete	OZ038372.1	19644409	19643462	-	493.5	257
12100at7147	Complete	OZ038374.1	89179670	89174979	-	1547.2	739
12116at7147	Complete	OZ038374.1	8917628	8934946	+	758.9	375
12219at7147	Complete	OZ038374.1	78942174	78940933	-	770.3	383
12226at7147	Complete	OZ038375.1	39894791	39893799	-	518.3	342
12283at7147	Complete	OZ038373.1	77979625	77978682	-	275.5	219
12285at7147	Complete	OZ038371.1	55333010	55332555	-	239.9	131
12361at7147	Complete	OZ038374.1	125967062	125970823	+	881.1	556
12492at7147	Complete	OZ038372.1	99168502	99170115	+	864.4	508
12531at7147	Complete	OZ038371.1	148124845	148142433	+	1161.5	1020
12652at7147	Complete	OZ038372.1	121948950	121950359	+	755.5	459
12759at7147	Complete	OZ038375.1	21567912	21567528	-	151.6	107
12796at7147	Duplicated	OZ038374.1	100615867	100583565	-	668.4	430
12796at7147	Duplicated	OZ038374.1	100625009	100618651	-	612.0	417
12973at7147	Fragmented	OZ038374.1	131154572	131158838	+	453.1	220
13052at7147	Complete	OZ038373.1	125957921	125947382	-	727.7	369
13055at7147	Complete	OZ038374.1	138415957	138417042	+	402.7	339
13056at7147	Complete	OZ038372.1	128762063	128768028	+	333.7	229
13145at7147	Complete	OZ038371.1	153596920	153587664	-	238.8	142
13207at7147	Complete	OZ038372.1	58026248	58025931	-	128.1	82
13389at7147	Complete	OZ038375.1	95735999	95748177	+	698.3	410
13497at7147	Complete	OZ038372.1	59488340	59489461	+	255.0	303
13588at7147	Complete	OZ038375.1	111717015	111709222	-	1224.6	705
13731at7147	Complete	OZ038371.1	9027836	9028762	+	459.1	287
13808at7147	Complete	OZ038371.1	154811758	154807127	-	666.4	399
13883at7147	Complete	OZ038372.1	160883854	160885488	+	854.3	402
13919at7147	Complete	OZ038372.1	67778328	67679810	-	1139.5	560
14042at7147	Complete	OZ038374.1	146500616	146506100	+	743.5	536
14054at7147	Complete	OZ038373.1	4796790	4792109	-	932.1	529
14119at7147	Complete	OZ038374.1	146225854	146219072	-	987.4	570
14247at7147	Complete	OZ038375.1	115423291	115421537	-	808.1	423
14368at7147	Complete	OZ038373.1	12954446	12955994	+	553.3	376
14376at7147	Complete	OZ038371.1	210383604	210431661	+	3091.6	2360
14513at7147	Complete	OZ038371.1	115309409	115309900	+	227.9	137
14525at7147	Complete	OZ038375.1	19158743	19156435	-	1089.5	528
14621at7147	Complete	OZ038375.1	102674224	102672183	-	829.3	528
14633at7147	Complete	OZ038375.1	110454384	110453390	-	127.3	82
14661at7147	Complete	OZ038374.1	22106495	22108560	+	1047.2	556
14706at7147	Complete	OZ038373.1	122225369	122215054	-	881.1	534
14792at7147	Complete	OZ038371.1	2346178	2344364	-	966.7	515
14821at7147	Complete	OZ038374.1	82604260	82603760	-	164.0	157
15074at7147	Complete	OZ038375.1	37761250	37717211	-	2230.5	1712
15336at7147	Complete	OZ038373.1	109447001	109440317	-	168.4	140
15356at7147	Complete	OZ038371.1	19975695	19976426	+	361.8	243
15390at7147	Complete	OZ038372.1	116452115	116498744	+	846.8	398
15451at7147	Complete	OZ038372.1	3212769	3232141	+	760.0	348
15468at7147	Complete	OZ038372.1	161297412	161302989	+	420.4	260
15549at7147	Fragmented	OZ038375.1	32928406	32916991	-	729.4	628
15597at7147	Complete	OZ038373.1	2172567	2170423	-	361.5	276
15662at7147	Complete	OZ038375.1	114532471	114531082	-	284.1	193
15771at7147	Complete	OZ038374.1	138222612	138130708	-	495.6	234
15909at7147	Complete	OZ038371.1	5188434	5192401	+	801.8	493
15956at7147	Complete	OZ038373.1	8946797	8957116	+	665.7	423
15977at7147	Missing
16128at7147	Complete	OZ038374.1	118948789	118941114	-	1319.3	608
16264at7147	Missing
16285at7147	Complete	OZ038371.1	35131362	35130246	-	456.0	282
16470at7147	Complete	OZ038371.1	192337578	192350827	+	443.4	293
16687at7147	Complete	OZ038371.1	5166761	5173367	+	684.6	509
16747at7147	Complete	OZ038371.1	2280282	2280920	+	373.7	199
16822at7147	Complete	OZ038372.1	149790278	149794326	+	412.3	277
16840at7147	Complete	OZ038374.1	114636825	114608413	-	404.4	243
16873at7147	Complete	OZ038372.1	127101052	127089673	-	385.3	210
16927at7147	Complete	OZ038371.1	1596967	1596578	-	200.7	110
16945at7147	Complete	OZ038374.1	2348798	2344995	-	1516.7	871
17073at7147	Complete	OZ038375.1	91045166	91032071	-	930.4	490
17231at7147	Complete	OZ038374.1	20312481	20310362	-	1052.9	542
17265at7147	Complete	OZ038374.1	147634978	147635797	+	359.8	195
17402at7147	Complete	OZ038373.1	109447503	109453318	+	574.1	352
17410at7147	Complete	OZ038375.1	32695446	32723012	+	1651.1	1002
17444at7147	Complete	OZ038374.1	74970013	74986561	+	687.3	448
17528at7147	Complete	OZ038371.1	142244581	142245360	+	336.4	222
17568at7147	Complete	OZ038375.1	105056733	105057333	+	214.6	171
17603at7147	Complete	OZ038375.1	11889874	11891497	+	786.5	512
17608at7147	Complete	OZ038375.1	26448210	26449607	+	470.7	271
17630at7147	Complete	OZ038371.1	121033326	121034414	+	440.6	273
17649at7147	Complete	OZ038374.1	1397379	1393875	-	1524.2	854
17672at7147	Complete	OZ038371.1	197540722	197541054	+	159.3	94
17711at7147	Complete	OZ038375.1	10355397	10362184	+	660.4	331
17793at7147	Complete	OZ038375.1	35953027	35966227	+	1802.4	977
17796at7147	Complete	OZ038373.1	147031766	147019387	-	1250.0	738
17799at7147	Complete	OZ038371.1	17220873	17208781	-	993.8	839
17888at7147	Complete	OZ038374.1	146313456	146321318	+	331.4	207
17896at7147	Complete	OZ038374.1	17406555	17307589	-	2258.1	1084
17953at7147	Complete	OZ038374.1	514256	509966	-	1062.8	594
17982at7147	Complete	OZ038372.1	87217433	87207184	-	448.2	240
17984at7147	Complete	OZ038371.1	165803756	165803380	-	173.4	107
18006at7147	Complete	OZ038372.1	112655628	112638974	-	2414.6	1154
18027at7147	Complete	OZ038374.1	11801893	11788648	-	803.7	367
18028at7147	Complete	OZ038373.1	111674073	111672822	-	509.8	413
18059at7147	Complete	OZ038373.1	113973072	113998603	+	1993.0	1281
18072at7147	Complete	OZ038373.1	48393479	48460253	+	777.7	461
18472at7147	Complete	OZ038375.1	61891338	61892032	+	373.8	166
18484at7147	Complete	OZ038375.1	33316906	33315807	-	646.6	346
18515at7147	Complete	OZ038371.1	148038538	148039419	+	155.1	159
18923at7147	Fragmented	OZ038372.1	41723423	41716132	-	304.5	232
19144at7147	Complete	OZ038374.1	19595498	19602941	+	933.5	633
19212at7147	Complete	OZ038374.1	93933824	93934141	+	124.8	80
19395at7147	Complete	OZ038374.1	138791365	138789773	-	1012.8	499
19684at7147	Complete	OZ038371.1	200413212	200412889	-	195.9	99
19729at7147	Complete	OZ038373.1	139535218	139533689	-	657.9	426
19746at7147	Complete	OZ038372.1	61139184	61181492	+	661.5	369
19750at7147	Complete	OZ038373.1	11709061	11715352	+	192.5	134
19787at7147	Complete	OZ038371.1	227629329	227628337	-	305.8	195
19873at7147	Complete	OZ038371.1	24266464	24246141	-	2679.8	2154
20074at7147	Complete	OZ038371.1	172554566	172574832	+	1279.5	798
20189at7147	Complete	OZ038373.1	108985012	108971018	-	635.5	452
20309at7147	Complete	OZ038373.1	791152	790370	-	523.4	228
20384at7147	Complete	OZ038374.1	105991450	105985518	-	340.2	250
20583at7147	Complete	OZ038373.1	65054343	65067991	+	726.9	475
20633at7147	Complete	OZ038375.1	89794915	89797378	+	509.6	529
20674at7147	Complete	OZ038373.1	146942168	146990287	+	991.1	496
20729at7147	Complete	OZ038375.1	114045750	114059394	+	886.1	511
20769at7147	Complete	OZ038375.1	4279271	4283632	+	411.5	231
20821at7147	Complete	OZ038375.1	13005852	13027691	+	777.9	433
21072at7147	Complete	OZ038375.1	27277572	27258012	-	1123.8	762
21190at7147	Complete	OZ038372.1	152566250	152572954	+	1137.9	669
21253at7147	Complete	OZ038375.1	11519727	11504439	-	1378.1	991
21351at7147	Complete	OZ038375.1	51648195	51714841	+	619.7	349
21439at7147	Complete	OZ038371.1	33993291	33981044	-	483.7	392
21468at7147	Complete	OZ038372.1	43638050	43630096	-	202.3	329
21503at7147	Complete	OZ038373.1	117906157	117905376	-	311.3	208
21508at7147	Complete	OZ038376.1	15445419	15446438	+	449.9	359
21581at7147	Complete	OZ038373.1	133722890	133712228	-	1949.7	1037
21585at7147	Fragmented	OZ038371.1	65540209	65538461	-	955.0	577
21605at7147	Complete	OZ038373.1	142453630	142452879	-	345.4	210
21773at7147	Fragmented	OZ038372.1	92937073	92996499	+	587.2	365
21818at7147	Complete	OZ038371.1	35281756	35281273	-	168.8	110
21852at7147	Complete	OZ038375.1	21528376	21527421	-	514.5	316
21918at7147	Complete	OZ038373.1	9986415	9958753	-	1518.2	824
21939at7147	Complete	OZ038373.1	63728860	63728093	-	370.1	229
22024at7147	Complete	OZ038373.1	87774352	87759951	-	1029.7	629
22088at7147	Complete	OZ038373.1	13861458	13917736	+	1709.4	802
22255at7147	Fragmented	OZ038371.1	204740504	204750029	+	164.0	163
22333at7147	Complete	OZ038371.1	231269572	231268781	-	249.4	185
22334at7147	Complete	OZ038372.1	132359910	132360629	+	217.1	165
22418at7147	Complete	OZ038371.1	3072628	3083192	+	428.6	299
22449at7147	Complete	OZ038375.1	72394465	72447817	+	1703.3	914
22604at7147	Complete	OZ038371.1	135267556	135281525	+	759.6	818
22719at7147	Complete	OZ038373.1	106591195	106607850	+	925.9	602
22815at7147	Complete	OZ038375.1	117403519	117394076	-	1603.0	899
23190at7147	Complete	OZ038372.1	128310931	128281651	-	1585.3	852
23197at7147	Duplicated	OZ038372.1	120465777	120466250	+	130.8	84
23197at7147	Duplicated	OZ038371.1	195219882	195233663	+	126.7	81
23278at7147	Complete	OZ038372.1	3888716	3910962	+	942.5	564
23365at7147	Complete	OZ038372.1	23466768	23438395	-	649.0	338
23560at7147	Complete	OZ038375.1	110833271	110873034	+	998.8	526
23846at7147	Complete	OZ038371.1	173656383	173655487	-	486.1	266
24160at7147	Complete	OZ038374.1	106923280	106900504	-	1465.5	961
24342at7147	Complete	OZ038374.1	15676303	15712618	+	1190.2	697
24411at7147	Complete	OZ038372.1	8847576	8839043	-	1266.4	717
24444at7147	Complete	OZ038373.1	148432541	148431492	-	355.4	239
24557at7147	Complete	OZ038371.1	209831646	209851073	+	278.9	184
24690at7147	Complete	OZ038372.1	28344129	28358140	+	1005.7	1062
24767at7147	Complete	OZ038372.1	139733450	139731702	-	506.5	403
24982at7147	Complete	OZ038373.1	94837201	94814585	-	1004.1	584
25034at7147	Complete	OZ038372.1	151028068	151030830	+	1336.9	709
25037at7147	Complete	OZ038374.1	18777673	18778772	+	346.5	260
25045at7147	Complete	OZ038374.1	12033301	12032183	-	508.7	388
25091at7147	Complete	OZ038375.1	108758170	108757186	-	510.9	278
25119at7147	Complete	OZ038375.1	26433252	26432434	-	244.2	125
25176at7147	Complete	OZ038375.1	52625056	52625906	+	381.2	227
25297at7147	Complete	OZ038375.1	20514401	20516923	+	139.2	119
25365at7147	Complete	OZ038374.1	72576391	72650486	+	381.9	247
25380at7147	Complete	OZ038375.1	18478336	18479862	+	297.4	276
25381at7147	Complete	OZ038371.1	157599664	157651847	+	915.0	967
25399at7147	Complete	OZ038371.1	229886991	229893696	+	1250.7	753
25417at7147	Duplicated	OZ038374.1	128779075	128779554	+	278.5	155
25417at7147	Duplicated	OZ038374.1	133011943	133012538	+	277.5	155
25419at7147	Complete	OZ038374.1	31780209	31746551	-	1656.3	919
25471at7147	Complete	OZ038371.1	190636388	190655383	+	1237.5	959
25587at7147	Complete	OZ038372.1	21239913	21233674	-	611.7	406
25662at7147	Complete	OZ038371.1	72027819	72028376	+	174.3	170
25769at7147	Complete	OZ038372.1	52208007	52198331	-	843.0	481
25828at7147	Complete	OZ038374.1	26413461	26425252	+	2592.9	1518
25925at7147	Complete	OZ038371.1	173925973	173926555	+	156.2	88
26206at7147	Complete	OZ038373.1	53206011	53266761	+	629.2	360
26270at7147	Complete	OZ038371.1	211538425	211448639	-	1360.6	800
26382at7147	Complete	OZ038372.1	48907160	48915962	+	966.6	634
26413at7147	Complete	OZ038372.1	5140534	5146734	+	307.4	308
26431at7147	Complete	OZ038371.1	98821626	98766418	-	1308.6	1135
26452at7147	Complete	OZ038372.1	113536209	113446639	-	343.9	430
26486at7147	Complete	OZ038372.1	44821847	44811921	-	1184.9	817
26565at7147	Complete	OZ038374.1	124320575	124354097	+	1122.2	896
26603at7147	Complete	OZ038375.1	99722163	99722696	+	243.0	133
26679at7147	Missing
26759at7147	Complete	OZ038371.1	230665492	230698718	+	433.6	255
26790at7147	Complete	OZ038371.1	204657099	204599350	-	767.1	465
26854at7147	Complete	OZ038375.1	1919073	1909069	-	296.8	190
26907at7147	Complete	OZ038372.1	1150610	1153105	+	776.5	677
27022at7147	Complete	OZ038371.1	35421296	35411747	-	686.2	374
27053at7147	Complete	OZ038374.1	72750772	72761926	+	960.5	562
27072at7147	Complete	OZ038372.1	10056982	10060535	+	200.3	209
27128at7147	Complete	OZ038371.1	5626857	5623853	-	753.8	395
27217at7147	Fragmented	OZ038372.1	36098349	36090134	-	146.0	86
27268at7147	Complete	OZ038372.1	61265603	61261646	-	301.4	221
27297at7147	Complete	OZ038375.1	34405106	34407521	+	950.9	502
27507at7147	Complete	OZ038373.1	12465239	12464493	-	251.4	189
27513at7147	Fragmented	OZ038371.1	22975861	22980912	+	655.9	703
27653at7147	Missing
27793at7147	Complete	OZ038376.1	23688793	23704514	+	469.9	259
27804at7147	Complete	OZ038371.1	169288596	169289717	+	554.7	408
27839at7147	Complete	OZ038375.1	29348885	29330969	-	657.3	411
27852at7147	Complete	OZ038374.1	6412640	6431100	+	710.3	434
27970at7147	Complete	OZ038373.1	148141893	148144627	+	170.7	83
27997at7147	Complete	OZ038374.1	14559158	14565044	+	903.7	869
28180at7147	Complete	OZ038374.1	6288926	6290429	+	482.7	241
28266at7147	Missing
28453at7147	Complete	OZ038374.1	20633948	20641178	+	189.1	115
28547at7147	Complete	OZ038374.1	92435707	92437042	+	466.9	344
28601at7147	Missing
28614at7147	Complete	OZ038374.1	32159740	32161002	+	464.9	346
28615at7147	Complete	OZ038373.1	121912377	121913211	+	286.5	193
28627at7147	Complete	OZ038372.1	161669192	161665007	-	1098.4	772
28877at7147	Complete	OZ038374.1	107258871	107278971	+	478.5	270
28937at7147	Complete	OZ038372.1	8725379	8710965	-	532.4	280
28958at7147	Fragmented	OZ038374.1	7482397	7494862	+	835.9	592
29289at7147	Complete	OZ038375.1	98151867	98168785	+	876.7	699
29361at7147	Complete	OZ038373.1	143223588	143235893	+	1345.6	1032
29535at7147	Complete	OZ038371.1	210072998	210073895	+	420.2	272
29552at7147	Complete	OZ038374.1	124640399	124649523	+	1432.6	937
29583at7147	Complete	OZ038373.1	122154554	122172042	+	606.0	438
29601at7147	Complete	OZ038372.1	8247270	8246410	-	280.2	258
29659at7147	Complete	OZ038375.1	92063787	92069536	+	618.1	423
29676at7147	Complete	OZ038374.1	134317411	134276170	-	1826.0	1037
29993at7147	Complete	OZ038372.1	149833233	149833799	+	117.9	173
30071at7147	Complete	OZ038374.1	78444253	78445687	+	773.9	398
30121at7147	Complete	OZ038372.1	161329476	161336081	+	572.1	413
30213at7147	Complete	OZ038375.1	89130457	89136394	+	478.1	611
31943at7147	Complete	OZ038375.1	12357818	12359223	+	678.9	311
32033at7147	Complete	OZ038371.1	23217001	23216456	-	313.0	158
32054at7147	Complete	OZ038371.1	116580551	116579659	-	500.3	213
32137at7147	Complete	OZ038371.1	119807945	119882246	+	361.9	183
32183at7147	Complete	OZ038374.1	11807382	11806804	-	276.3	186
32210at7147	Complete	OZ038371.1	18175716	18190776	+	341.8	148
32273at7147	Complete	OZ038373.1	118475195	118489294	+	1023.4	449
32289at7147	Complete	OZ038374.1	15998166	15980799	-	372.5	192
